Resort Name,Package Title,Longitude,Latitude,Has Valid Coordinates,Source,Price,Link
"Sun Beach Resort Kampung Genting","2D1N Sun Beach Resort (Snorkeling Package) Kampung Genting, Pulau Tioman",0,0,false,"amitravel","RM 486","https://www.amitravel.my/package-pakej/2d1n-sun-beach-resort-snorkeling-package-kampung-genting-pulau-tioman/"
"Sun Beach Resort , Kampung Genting","4D3N Sun Beach Resort (Snorkeling Package), Kampung Genting Pulau Tioman",0,0,false,"amitravel","RM 642","https://www.amitravel.my/package-pakej/4d3n-sun-beach-resort-snorkeling-package-kampung-genting-pulau-tioman/"
"Sun Beach Resort , Kampung Genting","3D2N Sun Beach Resort (Snorkeling Package), Kampung Genting, Pulau Tioman",0,0,false,"amitravel","RM 462","https://www.amitravel.my/package-pakej/3d2n-sun-beach-resort-snorkeling-package-kampung-genting-pulau-tioman/"
"Tioman Beach Resort","3D2N The Barat Tioman Beach Resort (Snorkeling Package), Pulau Tioman",0,0,false,"amitravel","RM 535","https://www.amitravel.my/package-pakej/3d2n-the-barat-tioman-beach-resort-snorkeling-package-pulau-tioman/"
"Salang Pusaka Resort","4D3N Snorkeling Package at Salang Pusaka Resort, Tioman Island",0,0,false,"amitravel","RM 642","https://www.amitravel.my/package-pakej/4d3n-snorkeling-package-salang-pusaka-resort-tioman-island/"
"Salang Pusaka Resort","3D2N Snorkeling Package at Salang Pusaka Resort, Tioman Island",0,0,false,"amitravel","RM 474","https://www.amitravel.my/package-pakej/3d2n-snorkeling-package-salang-pusaka-resort-tioman-island/"
"Dumba Bay Resort","3D2N Dumba Bay Resort (Snorkeling Package), Pulau Tioman",0,0,false,"amitravel","RM 408","https://www.amitravel.my/package-pakej/3d2n-dumba-bay-resort-snorkeling-package-pulau-tioman/"
"Dumba Bay Resort","4D3N Dumba Bay Resort (Snorkeling Package), Pulau Tioman",0,0,false,"amitravel","RM 480","https://www.amitravel.my/package-pakej/4d3n-dumba-bay-resort-snorkeling-package-pulau-tioman/"
"Panuba Inn Resort","3D2N Panuba Inn Resort (Snorkeling Package), Pulau Tioman",0,0,false,"amitravel","RM 504","https://www.amitravel.my/package-pakej/3d2n-panuba-inn-resort-snorkeling-package-pulau-tioman/"
"Panuba Inn Resort","4D3N Panuba Inn Resort (Snorkeling Package), Pulau Tioman",0,0,false,"amitravel","RM 828","https://www.amitravel.my/package-pakej/4d3n-panuba-inn-resort-snorkeling-package-pulau-tioman/"
"Bayu Tioman Chalet","3D2N Open Water Course (SDI) at Bayu Tioman Chalet, Pulau Tioman",0,0,false,"amitravel","RM 1620","https://www.amitravel.my/package-pakej/3d2n-open-water-course-sdi-bayu-tioman-chalet-pulau-tioman/"
"Bayu Tioman Chalet","4D3N Open Water Course (PADI) at Bayu Tioman Chalet, Pulau Tioman",0,0,false,"amitravel","RM 1740","https://www.amitravel.my/package-pakej/4d3n-open-water-course-padi-at-bayu-tioman-chalet-pulau-tioman/"
"Bayu Tioman Chalet","2D1N Leisure at Bayu Tioman Chalet, Pulau Tioman",0,0,false,"amitravel","RM 348","https://www.amitravel.my/package-pakej/2d1n-leisure-at-bayu-tioman-chalet-pulau-tioman/"
"Bayu Tioman Chalet","3D2N Leisure Dive at Bayu Tioman Chalet, Pulau Tioman",0,0,false,"amitravel","RM 816","https://www.amitravel.my/package-pakej/3d2n-leisure-dive-bayu-tioman-chalet-pulau-tioman/"
"Sun Beach Resort , Kampung Genting","3D2N Sun Beach Resort (Honeymoon), Kampung Genting, Tioman Island",0,0,false,"amitravel","RM 1053","https://www.amitravel.my/package-pakej/3d2n-sun-beach-resort-honeymoon-kampung-genting-tioman-island/"
"Tioman Dive Resort","3D2N Tioman Dive Resort (Advance Open Water Course Package), Pulau Tioman",0,0,false,"amitravel","RM 1740","https://www.amitravel.my/package-pakej/3d2n-tioman-dive-resort-advance-open-water-course-package-pulau-tioman/"
